CATEGORY	ATTEMPTED	EMITTED	UNMAPPED	RESOLVED	PARTIAL	UNRESOLVED	AMBIGUOUS	CONDITIONAL	UNSUPPORTED	ERROR
java.annotated-with	23	23	0	23	0	0	0	0	0	0
java.calls	158	158	0	145	0	13	0	0	0	0
java.constructor-calls	6	6	0	6	0	0	0	0	0	0
java.declares	110	103	7	103	0	0	0	0	7	0
java.extends	1	1	0	1	0	0	0	0	0	0
java.field-type	8	8	0	8	0	0	0	0	0	0
java.has-parameter	31	31	0	31	0	0	0	0	0	0
java.implements	3	3	0	3	0	0	0	0	0	0
java.method-references	8	8	0	5	0	3	0	0	0	0
java.parameter-type	30	30	0	30	0	0	0	0	0	0
java.permits	0	0	0	0	0	0	0	0	0	0
java.reads-field	38	28	10	28	0	10	0	0	0	0
java.returns	20	20	0	20	0	0	0	0	0	0
java.throws	0	0	0	0	0	0	0	0	0	0
java.type-argument	5	5	0	5	0	0	0	0	0	0
java.type-parameter-bound	0	0	0	0	0	0	0	0	0	0
java.type-uses	144	144	0	144	0	0	0	0	0	0
java.writes-field	2	2	0	2	0	0	0	0	0	0
