METRIC	VALUE
assembly.assembled	8
assembly.withheld	24
build.effectiveModules	16
build.externalPomsAcquired	73
build.modules	16
build.problems	70
capabilityGaps	442
classpath.artifacts	999
classpath.problems	2240
decoding.decoded	262
dependency.acquired	397
dependency.acquisitionRounds	17
dependency.bytesConsumed	217804394
dependency.cached	0
dependency.classpathPasses	18
dependency.failed	0
dependency.requested	944
dependency.skipped_pom	547
frontend.observations	587
frontend.runs	8
ownership.owned	262
ownership.unowned	0
repository.files	385
repository.javaFiles	262
