REASON	COUNT
build.configuration:UNSUPPORTED_ACTIVATION	4
build.configuration:UNSUPPORTED_PROFILE_ACTIVATION	54
build.dependency:DEPENDENCY_CYCLE	2
build.generated-source:GENERATED_SOURCES_NOT_ACQUIRED	30
build.plugin:EXTENSIONS_NOT_LOADED	16
build.plugin:PLUGIN_EFFECTS_NOT_EVALUATED	28
build.pom:POM_MODEL_WARNING	9
build.reactor-output:REACTOR_OUTPUT_NOT_ACQUIRED	2
build.source-plan:UNSUPPORTED_COMPILER_CONFIGURATION	32
frontend.input:MISSING_REACTOR_OUTPUT	24
java.annotated-with:CATEGORY_PARTIAL	8
java.calls:SEMANTIC_UNRESOLVED	13
java.constructor-calls:CATEGORY_PARTIAL	8
java.declares:CATEGORY_PARTIAL	8
java.declares:SEMANTIC_UNSUPPORTED	7
java.extends:CATEGORY_PARTIAL	8
java.field-type:CATEGORY_PARTIAL	8
java.frontend:FRONTEND_PARTIAL	3
java.has-parameter:CATEGORY_PARTIAL	8
java.implements:CATEGORY_PARTIAL	8
java.method-references:CATEGORY_PARTIAL	8
java.method-references:SEMANTIC_UNRESOLVED	3
java.observation:UNMAPPED_OBSERVATION	17
java.origin:MISSING_ORIGIN	33
java.parameter-type:CATEGORY_PARTIAL	8
java.permits:CATEGORY_PARTIAL	8
java.reads-field:CATEGORY_PARTIAL	8
java.reads-field:SEMANTIC_UNRESOLVED	10
java.returns:CATEGORY_PARTIAL	8
java.source:SOURCE_PARTIAL	7
java.throws:CATEGORY_PARTIAL	8
java.type-argument:CATEGORY_PARTIAL	8
java.type-parameter-bound:CATEGORY_PARTIAL	8
java.type-uses:CATEGORY_PARTIAL	8
java.writes-field:CATEGORY_PARTIAL	8
workspace.source-ownership:MISSING_SOURCE_ROOT	12
