REASON	COUNT
build.configuration:UNSUPPORTED_ACTIVATION	3
build.configuration:UNSUPPORTED_PROFILE_ACTIVATION	13
build.dependency:DEPENDENCY_CYCLE	1
build.dependency:MISSING_ARTIFACT	26
build.generated-source:GENERATED_SOURCES_NOT_ACQUIRED	2
build.model:UNRESOLVED_EXPRESSION	1
build.plugin:ADDITIONAL_COMPILER_EXECUTION	2
build.plugin:EXTENSIONS_NOT_LOADED	1
build.plugin:PLUGIN_EFFECTS_NOT_EVALUATED	2
build.pom:MISSING_POM	26
build.pom:POM_MODEL_WARNING	1
build.source-plan:UNSUPPORTED_COMPILER_CONFIGURATION	2
frontend.input:CLASSPATH_PROBLEM	2
