CATEGORY	ATTEMPTED	EMITTED	UNMAPPED	RESOLVED	PARTIAL	UNRESOLVED	AMBIGUOUS	CONDITIONAL	UNSUPPORTED	ERROR
java.annotated-with	0	0	0	0	0	0	0	0	0	0
java.calls	0	0	0	0	0	0	0	0	0	0
java.constructor-calls	0	0	0	0	0	0	0	0	0	0
java.declares	0	0	0	0	0	0	0	0	0	0
java.extends	0	0	0	0	0	0	0	0	0	0
java.field-type	0	0	0	0	0	0	0	0	0	0
java.has-parameter	0	0	0	0	0	0	0	0	0	0
java.implements	0	0	0	0	0	0	0	0	0	0
java.method-references	0	0	0	0	0	0	0	0	0	0
java.parameter-type	0	0	0	0	0	0	0	0	0	0
java.permits	0	0	0	0	0	0	0	0	0	0
java.reads-field	0	0	0	0	0	0	0	0	0	0
java.returns	0	0	0	0	0	0	0	0	0	0
java.throws	0	0	0	0	0	0	0	0	0	0
java.type-argument	0	0	0	0	0	0	0	0	0	0
java.type-parameter-bound	0	0	0	0	0	0	0	0	0	0
java.type-uses	0	0	0	0	0	0	0	0	0	0
java.writes-field	0	0	0	0	0	0	0	0	0	0
