METRIC	VALUE
assembly.assembled	2
assembly.withheld	0
build.effectiveModules	1
build.externalPomsAcquired	59
build.modules	1
build.problems	12
capabilityGaps	1635
classpath.artifacts	648
classpath.problems	213
decoding.decoded	50
dependency.acquired	266
dependency.acquisitionRounds	18
dependency.bytesConsumed	171800181
dependency.cached	0
dependency.classpathPasses	19
dependency.failed	0
dependency.requested	629
dependency.skipped_pom	363
frontend.observations	4250
frontend.runs	2
ownership.owned	50
ownership.unowned	0
repository.files	132
repository.javaFiles	50
