REASON	COUNT
build.configuration:UNSUPPORTED_ACTIVATION	4
build.configuration:UNSUPPORTED_PROFILE_ACTIVATION	39
build.dependency:DEPENDENCY_CYCLE	2
build.generated-source:GENERATED_SOURCES_NOT_ACQUIRED	2
build.model:UNRESOLVED_EXPRESSION	1
build.plugin:EXTENSIONS_NOT_LOADED	1
build.plugin:PLUGIN_EFFECTS_NOT_EVALUATED	2
build.pom:POM_MODEL_WARNING	9
build.source-plan:UNSUPPORTED_COMPILER_CONFIGURATION	2
java.annotated-with:CATEGORY_PARTIAL	2
java.calls:SEMANTIC_ERROR	2
java.calls:SEMANTIC_UNRESOLVED	434
java.constructor-calls:CATEGORY_PARTIAL	2
java.constructor-calls:SEMANTIC_UNRESOLVED	45
java.declares:CATEGORY_PARTIAL	2
java.declares:SEMANTIC_ERROR	2
java.declares:SEMANTIC_UNSUPPORTED	15
java.extends:CATEGORY_PARTIAL	2
java.field-type:CATEGORY_PARTIAL	2
java.field-type:SEMANTIC_ERROR	2
java.field-type:SEMANTIC_UNRESOLVED	18
java.frontend:FRONTEND_PARTIAL	2
java.has-parameter:CATEGORY_PARTIAL	2
java.implements:CATEGORY_PARTIAL	2
java.method-references:CATEGORY_PARTIAL	2
java.method-references:SEMANTIC_UNRESOLVED	2
java.observation:UNMAPPED_OBSERVATION	37
java.origin:MISSING_ORIGIN	734
java.parameter-type:CATEGORY_PARTIAL	2
java.permits:CATEGORY_PARTIAL	2
java.provenance:MISSING_PROVENANCE	5
java.reads-field:CATEGORY_PARTIAL	2
java.reads-field:SEMANTIC_ERROR	2
java.reads-field:SEMANTIC_UNSUPPORTED	13
java.returns:CATEGORY_PARTIAL	2
java.returns:SEMANTIC_UNRESOLVED	4
java.source:SOURCE_PARTIAL	27
java.throws:CATEGORY_PARTIAL	2
java.type-argument:CATEGORY_PARTIAL	2
java.type-argument:SEMANTIC_UNRESOLVED	30
java.type-parameter-bound:CATEGORY_PARTIAL	2
java.type-parameter-bound:SEMANTIC_UNRESOLVED	1
java.type-uses:CATEGORY_PARTIAL	2
java.type-uses:SEMANTIC_ERROR	2
java.type-uses:SEMANTIC_UNRESOLVED	161
java.type-uses:SEMANTIC_UNSUPPORTED	1
java.writes-field:CATEGORY_PARTIAL	2
